# ip_prefix,alpha2code,region,city,postal_code
154.62.164.0/22,GB,GB-ENG,LONDON,
154.62.168.0/22,GB,GB-ENG,MANCHESTER,
38.126.80.0/21,GB,GB-ENG,LONDON,
38.126.88.0/21,GB,GB-ENG,MANCHESTER,
185.241.224.0/23,GB,GB-ENG,LONDON,
185.241.226.0/23,GB,GB-ENG,MANCHESTER,
2a0c:b381::/32,GB,GB-ENG,LONDON,
2a0c:b381:1200::/40,GB,GB-ENG,LONDON,
2a0c:b381:e00::/40,GB,GB-ENG,LONDON,
2a0c:b381:900::/40,GB,GB-ENG,LONDON,
2a0c:b381:800::/40,GB,GB-ENG,LONDON,
2a0c:b381:f00::/40,GB,GB-ENG,LONDON,
2a0c:b381:a00::/40,GB,GB-ENG,LONDON,
2a0c:b381:b00::/40,GB,GB-ENG,LONDON,
2a0c:b381:500::/40,GB,GB-ENG,MANCHESTER,
2a0c:b381:700::/40,GB,GB-ENG,MANCHESTER,
2a0c:b381:d00::/40,GB,GB-ENG,MANCHESTER,
2a0c:b381:1100::/40,GB,GB-ENG,MANCHESTER,
2a0c:b381:1300::/40,GB,GB-ENG,MANCHESTER,
2a0c:b381:1400::/40,GB,GB-ENG,MANCHESTER,
2a0c:b381:1500::/40,GB,GB-ENG,MANCHESTER,
2a0c:b381:1600::/40,GB,GB-ENG,MANCHESTER,
2a0c:b381:1700::/40,GB,GB-ENG,MANCHESTER,
2a0c:b381:1800::/40,GB,GB-ENG,LONDON,
2a0c:b381:1900::/40,GB,GB-ENG,LONDON,
